# Schedule Players {#SchedulePlayers}
You can use this table to check how many leaders and observers you need.
 
|------------|-------|---------|-------|
|Participants|Leaders|Observers|Players|
|============|=======|=========|=======|
|          30|      2|        8|     20|
|------------|-------|---------|-------|
|          29|      2|        7|     20|
|------------|-------|---------|-------|
|          28|      2|        7|     19|
|------------|-------|---------|-------|
|          27|      2|        6|     19|
|------------|-------|---------|-------|
|          26|      2|        6|     18|
|------------|-------|---------|-------|
|          25|      2|        5|     18|
|------------|-------|---------|-------|
|          24|      2|        5|     17|
|------------|-------|---------|-------|
|          23|      2|        4|     17|
|------------|-------|---------|-------|
|          22|      2|        4|     16|
|------------|-------|---------|-------|
|          21|      2|        4|     15|
|------------|-------|---------|-------|
|          20|      2|        4|     14|
|------------|-------|---------|-------|
|          19|      2|        4|     13|
|------------|-------|---------|-------|
|          18|      2|        4|     12|
|------------|-------|---------|-------|
|          17|      2|        3|     12|
|------------|-------|---------|-------|
|          16|      2|        3|     11|
|------------|-------|---------|-------|
|          15|      2|        2|     11|
|------------|-------|---------|-------|
|          14|      2|        2|     10|
|------------|-------|---------|-------|
|          13|      2|        1|     10|
|------------|-------|---------|-------|
|          12|      2|        1|      9|
|------------|-------|---------|-------|
|          11|      2|        1|      8|
|------------|-------|---------|-------|
|          10|      2|        1|      7|
|------------|-------|---------|-------|
|           9|      2|        1|      6|
|------------|-------|---------|-------|
|           8|      1|        1|      6|
|------------|-------|---------|-------|
|           7|      1|        1|      5|
|------------|-------|---------|-------|
|           6|      1|        0|      5|
|------------|-------|---------|-------|
|           5|      1|        0|      4|
|------------|-------|---------|-------|
|           4|      1|        0|      3|
|------------|-------|---------|-------|
